,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total,training_finished,training_finish_requested
0,2.2787680625915527,6.705936431884766,0.10166139240506329,,,,,,,,
391,,1.451724648475647,0.4876384493670886,1.7578986883163452,4.123739242553711,0.3859295076726343,4.123739242553711,1.4554095268249512,1.4554095268249512,,
782,,1.3497265577316284,0.5232397151898734,1.381017804145813,4.086297273635864,0.5150335678054244,8.210036516189575,1.4196288585662842,2.8750383853912354,,
1173,,1.2650855779647827,0.5558742088607594,1.2899324893951416,4.262128114700317,0.5507672634118658,12.472164630889893,1.4201955795288086,4.295233964920044,,
1564,,1.247293472290039,0.5606210443037974,1.2471996545791626,4.451069116592407,0.5666640025880331,16.9232337474823,1.816737413406372,6.111971378326416,,
1955,,1.2215245962142944,0.5700158227848101,1.2089117765426636,4.438188076019287,0.5787204283735027,21.361421823501587,1.769608736038208,7.881580114364624,,
2346,,1.1921483278274536,0.5847507911392406,1.1783854961395264,4.495671510696411,0.5894221547619461,25.857093334197998,1.8967370986938477,9.778317213058472,,
2737,,1.1812167167663574,0.5898931962025317,1.1535907983779907,4.250239610671997,0.6002277813451674,30.107332944869995,1.3947138786315918,11.173031091690063,,
3128,,1.2075865268707275,0.5771360759493671,1.129075050354004,4.252207279205322,0.6090193414474692,34.35954022407532,1.4166932106018066,12.58972430229187,,
3519,,1.1488863229751587,0.6015625,1.1127318143844604,4.45009446144104,0.6128037084094093,38.80963468551636,1.6654431819915771,14.255167484283447,,
3910,,1.1489620208740234,0.6001780063291139,1.0962380170822144,4.605078935623169,0.6190257352941176,43.414713621139526,2.0955824851989746,16.350749969482422,True,True
