,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,3.9694390296936035,4.017498016357422,0.09998022151898735,,,,,,
391,,1.394052505493164,0.5048457278481012,1.653877854347229,20.060178756713867,0.4136988490896152,20.060178756713867,1.400329351425171,1.400329351425171
782,,1.1979938745498657,0.5803006329113924,1.2445303201675415,20.070300340652466,0.563123401549771,40.13047909736633,1.3996706008911133,2.799999952316284
1173,,1.0844740867614746,0.6186708860759493,1.0902197360992432,20.17915105819702,0.62203085041412,60.309630155563354,1.4044671058654785,4.204467058181763
1564,,1.0630035400390625,0.6287579113924051,0.9906064867973328,20.02220630645752,0.6574528452837863,80.33183646202087,1.4489610195159912,5.653428077697754
1955,,1.005709171295166,0.6523931962025317,0.9091121554374695,20.02461290359497,0.6875959079131446,100.35644936561584,1.4380712509155273,7.091499328613281
2346,,1.0062566995620728,0.6582278481012658,0.8373610973358154,20.05590009689331,0.7128956202046036,120.41234946250916,1.4164657592773438,8.507965087890625
2737,,1.0137017965316772,0.6520965189873418,0.7830286026000977,20.277069330215454,0.7308623721380063,140.6894187927246,1.4474549293518066,9.955420017242432
3128,,1.0247734785079956,0.6564477848101266,0.7337628602981567,20.18289589881897,0.7481577685269554,160.87231469154358,1.4329638481140137,11.388383865356445
3519,,1.0381227731704712,0.6561511075949367,0.6832060813903809,20.279967069625854,0.7657728580486439,181.15228176116943,1.4479758739471436,12.836359739303589
