,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,3.796267032623291,50.5009765625,0.0078125,,,,,,
391,,1.3840656280517578,0.5095925632911392,2.1808009147644043,33.49622941017151,0.3892982736268007,33.49622941017151,1.4989447593688965,1.4989447593688965
782,,1.2752599716186523,0.5470727848101266,1.3221524953842163,33.70300221443176,0.5295156649006602,67.19923162460327,1.470407485961914,2.9693522453308105
1173,,1.139101505279541,0.6001780063291139,1.1663353443145752,33.51911425590515,0.5910805626903348,100.71834588050842,1.4527249336242676,4.422077178955078
1564,,1.0874271392822266,0.6160007911392406,1.0495011806488037,33.64158344268799,0.6359215153147803,134.3599293231964,1.4788095951080322,5.90088677406311
1955,,1.051552414894104,0.6349881329113924,0.9555618166923523,33.43463110923767,0.6688059463220484,167.79456043243408,1.4579381942749023,7.358824968338013
2346,,0.9864911437034607,0.660996835443038,0.8764333128929138,33.53822588920593,0.6977141943886457,201.33278632164001,1.430605411529541,8.789430379867554
2737,,1.0181543827056885,0.6506131329113924,0.814761757850647,33.64452242851257,0.7196531330075715,234.9773087501526,1.4396765232086182,10.229106903076172
3128,,1.0061043500900269,0.6639636075949367,0.7435065507888794,33.599523305892944,0.7447690217543745,268.57683205604553,1.436251163482666,11.665358066558838
3519,,0.9923335313796997,0.6660403481012658,0.6861840486526489,33.40442252159119,0.7666959718746298,301.9812545776367,1.4312248229980469,13.096582889556885
3910,,0.9654825329780579,0.6824564873417721,0.6314845085144043,33.40897607803345,0.7829323849257301,335.39023065567017,1.448979139328003,14.545562028884888
4301,,1.0484263896942139,0.6677215189873418,0.5801562666893005,33.43870830535889,0.79997202685422,368.82893896102905,1.4278686046600342,15.973430633544922
4692,,0.9659473299980164,0.6873022151898734,0.5303564667701721,33.41067171096802,0.8180226982020966,402.23961067199707,1.4194097518920898,17.39284038543701
5083,,1.0264041423797607,0.6794897151898734,0.4888903796672821,33.325767040252686,0.8312699808107923,435.56537771224976,1.448577880859375,18.841418266296387
5474,,1.0572316646575928,0.6855221518987342,0.4345014691352844,33.333139181137085,0.8524656329885163,468.89851689338684,1.441854476928711,20.283272743225098
5865,,1.0669862031936646,0.6865110759493671,0.39329010248184204,33.42882561683655,0.8651094948849105,502.3273425102234,1.4391770362854004,21.722449779510498
6256,,1.0658568143844604,0.6966969936708861,0.35208117961883545,33.58546471595764,0.8795516304385936,535.912807226181,1.459010124206543,23.18145990371704
6647,,1.1131086349487305,0.6900712025316456,0.31658366322517395,33.364235639572144,0.8919996802916612,569.2770428657532,1.432194471359253,24.613654375076294
7038,,1.1560091972351074,0.6918512658227848,0.28095558285713196,33.37125539779663,0.905782448856727,602.6482982635498,1.4251179695129395,26.038772344589233
