,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,3.843208074569702,12.282387733459473,0.051325158227848104,,,,,,
391,,1.357535719871521,0.5255142405063291,1.7232801914215088,19.66712999343872,0.4176910165935526,19.66712999343872,1.458188772201538,1.458188772201538
782,,1.2223026752471924,0.5654667721518988,1.2370272874832153,19.637775897979736,0.5674312660456313,39.30490589141846,1.4055650234222412,2.8637537956237793
1173,,1.0746947526931763,0.6204509493670886,1.0665874481201172,19.64230251312256,0.6277813299385178,58.947208404541016,1.427659511566162,4.291413307189941
1564,,1.0106287002563477,0.6498219936708861,0.9482421278953552,19.703295946121216,0.6700407608848093,78.65050435066223,1.4331822395324707,5.724595546722412
1955,,0.9794445037841797,0.6565466772151899,0.8609057664871216,20.30854868888855,0.7040281330075715,98.95905303955078,1.4390814304351807,7.163676977157593
2346,,0.9717168211936951,0.6626780063291139,0.7900970578193665,19.85969066619873,0.7277533567470053,118.81874370574951,1.429443359375,8.593120336532593
2737,,0.9528643488883972,0.6793908227848101,0.7295023798942566,19.802026748657227,0.7493845908080831,138.62077045440674,1.4426486492156982,10.035768985748291
3128,,0.9639488458633423,0.6717761075949367,0.6758570075035095,19.65243434906006,0.7684902493911021,158.2732048034668,1.4169158935546875,11.452684879302979
3519,,0.9617630243301392,0.6787974683544303,0.6272130012512207,19.74394202232361,0.7850543478184648,178.0171468257904,1.426032304763794,12.878717184066772
3910,,0.9733385443687439,0.6850276898734177,0.5783451199531555,19.72088098526001,0.8016384271404627,197.73802781105042,1.430396556854248,14.30911374092102
4301,,1.042860746383667,0.6687104430379747,0.5366957187652588,19.67055583000183,0.8142143542047047,217.40858364105225,1.415191650390625,15.724305391311646
4692,,0.9692568182945251,0.6937302215189873,0.503717303276062,19.73409080505371,0.8275175831278266,237.14267444610596,1.4560859203338623,17.180391311645508
5083,,1.062345027923584,0.6745450949367089,0.45951488614082336,19.732463598251343,0.8422274616215845,256.8751380443573,1.45664381980896,18.637035131454468
5474,,1.0423226356506348,0.6852254746835443,0.422354131937027,19.807417392730713,0.8560741687827098,276.682555437088,1.4289894104003906,20.06602454185486
5865,,1.0986942052841187,0.6808742088607594,0.3905832767486572,19.697176218032837,0.8641703964194374,296.37973165512085,1.4216928482055664,21.487717390060425
6256,,1.1261290311813354,0.6842365506329114,0.3608190417289734,19.723310470581055,0.8768662084322756,316.1030421257019,1.446077585220337,22.93379497528076
6647,,1.169931411743164,0.6830498417721519,0.3336477279663086,19.652607202529907,0.8855538683016891,335.7556493282318,1.4237313270568848,24.357526302337646
7038,,1.2097899913787842,0.6787974683544303,0.30059370398521423,19.67145562171936,0.8978260869488996,355.4271049499512,1.4264819622039795,25.784008264541626
7429,,1.2475117444992065,0.6743473101265823,0.2825530767440796,19.711774826049805,0.9029891304195384,375.138879776001,1.45100736618042,27.235015630722046
7820,,1.3018306493759155,0.6824564873417721,0.2528988718986511,19.702765941619873,0.9140585038401282,394.84164571762085,1.4161503314971924,28.65116596221924
8211,,1.416826844215393,0.6637658227848101,0.2289678454399109,19.68912363052368,0.9216831841356005,414.53076934814453,1.4328138828277588,30.083979845046997
8602,,1.4335769414901733,0.6743473101265823,0.21513813734054565,19.662354469299316,0.9269820971943229,434.19312381744385,1.4572396278381348,31.541219472885132
8993,,1.4934331178665161,0.6696004746835443,0.19093872606754303,19.677085876464844,0.935557864453939,453.8702096939087,1.4277231693267822,32.968942642211914
9384,,1.5437281131744385,0.6708860759493671,0.17683638632297516,19.726388931274414,0.9407328964232484,473.5965986251831,1.4218697547912598,34.390812397003174
9775,,1.6349694728851318,0.6778085443037974,0.1597856730222702,19.742932558059692,0.946123721225716,493.3395311832428,1.4694817066192627,35.86029410362244
10166,,1.6407139301300049,0.6738528481012658,0.15672177076339722,19.681371927261353,0.9458799552353446,513.0209031105042,1.423065423965454,37.28335952758789
10557,,1.8470327854156494,0.6587223101265823,0.14219646155834198,19.730748176574707,0.9510110294079537,532.7516512870789,1.4241819381713867,38.70754146575928
10948,,1.7750853300094604,0.6747428797468354,0.1323116570711136,19.7206392288208,0.9536564897679155,552.4722905158997,1.4352266788482666,40.142768144607544
11339,,1.903950810432434,0.6699960443037974,0.11338012665510178,19.704326629638672,0.9622762148337596,572.1766171455383,1.423180341720581,41.565948486328125
11730,,2.022449493408203,0.6687104430379747,0.11450164020061493,19.7127525806427,0.9614769820971867,591.889369726181,1.4112579822540283,42.97720646858215
12121,,2.000560760498047,0.6650514240506329,0.10912162065505981,19.96637487411499,0.9635509910476406,611.855744600296,1.455979585647583,44.433186054229736
12512,,2.1112749576568604,0.6600079113924051,0.09844798594713211,19.834439039230347,0.9668358375920969,631.6901836395264,1.4409785270690918,45.87416458129883
12903,,2.1468615531921387,0.6640625,0.09196697175502777,19.703187465667725,0.9692615089495011,651.3933711051941,1.4156100749969482,47.289774656295776
13294,,2.197638750076294,0.6666337025316456,0.0935116559267044,19.705069541931152,0.9674392583115441,671.0984406471252,1.442068338394165,48.73184299468994
13685,,2.448855400085449,0.646756329113924,0.08517520129680634,19.72910475730896,0.9712515984616621,690.8275454044342,1.4202351570129395,50.15207815170288
14076,,2.306856870651245,0.6674248417721519,0.09528246521949768,19.807474613189697,0.9672554347787976,710.6350200176239,1.4468207359313965,51.59889888763428
14467,,2.283470392227173,0.6641613924050633,0.08215498924255371,19.844369173049927,0.9727941176465824,730.4793891906738,1.4544694423675537,53.05336833000183
14858,,2.4228744506835938,0.6628757911392406,0.06764975190162659,19.739956378936768,0.977169916879319,750.2193455696106,1.4242918491363525,54.477660179138184
15249,,2.405575752258301,0.6588212025316456,0.07189854979515076,19.783333778381348,0.9758152173893988,770.002679347992,1.4390811920166016,55.916741371154785
15640,,2.5363030433654785,0.6634691455696202,0.06779106706380844,19.794045448303223,0.9765105498716464,789.7967247962952,1.433419942855835,57.35016131401062
16031,,2.6228909492492676,0.659315664556962,0.06220399588346481,19.7111177444458,0.9792878836312372,809.507842540741,1.4231905937194824,58.7733519077301
16422,,2.602659225463867,0.6620846518987342,0.07359033823013306,19.729815244674683,0.9737651854219949,829.2376577854156,1.419588327407837,60.19294023513794
16813,,2.6265292167663574,0.665743670886076,0.07192126661539078,19.683631896972656,0.9747322570327717,848.9212896823883,1.4287090301513672,61.62164926528931
17204,,2.7390596866607666,0.6576344936708861,0.058853235095739365,19.72644066810608,0.9803268861887819,868.6477303504944,1.412416696548462,63.03406596183777
17595,,2.788940906524658,0.6620846518987342,0.04444450885057449,19.727267742156982,0.9857936381074168,888.3749980926514,1.4168412685394287,64.4509072303772
