,time_initialization,test_cost,test_accur,train_cost,time_train_this_epoch,train_accur,time_train_total,time_read_data_this_epoch,time_read_data_total
0,3.843208074569702,12.282387733459473,0.051325158227848104,,,,,,
391,,1.357535719871521,0.5255142405063291,1.7232801914215088,19.66712999343872,0.4176910165935526,19.66712999343872,1.458188772201538,1.458188772201538
782,,1.2223026752471924,0.5654667721518988,1.2370272874832153,19.637775897979736,0.5674312660456313,39.30490589141846,1.4055650234222412,2.8637537956237793
1173,,1.0746947526931763,0.6204509493670886,1.0665874481201172,19.64230251312256,0.6277813299385178,58.947208404541016,1.427659511566162,4.291413307189941
1564,,1.0106287002563477,0.6498219936708861,0.9482421278953552,19.703295946121216,0.6700407608848093,78.65050435066223,1.4331822395324707,5.724595546722412
1955,,0.9794445037841797,0.6565466772151899,0.8609057664871216,20.30854868888855,0.7040281330075715,98.95905303955078,1.4390814304351807,7.163676977157593
2346,,0.9717168211936951,0.6626780063291139,0.7900970578193665,19.85969066619873,0.7277533567470053,118.81874370574951,1.429443359375,8.593120336532593
2737,,0.9528643488883972,0.6793908227848101,0.7295023798942566,19.802026748657227,0.7493845908080831,138.62077045440674,1.4426486492156982,10.035768985748291
3128,,0.9639488458633423,0.6717761075949367,0.6758570075035095,19.65243434906006,0.7684902493911021,158.2732048034668,1.4169158935546875,11.452684879302979
3519,,0.9617630243301392,0.6787974683544303,0.6272130012512207,19.74394202232361,0.7850543478184648,178.0171468257904,1.426032304763794,12.878717184066772
3910,,0.9733385443687439,0.6850276898734177,0.5783451199531555,19.72088098526001,0.8016384271404627,197.73802781105042,1.430396556854248,14.30911374092102
4301,,1.042860746383667,0.6687104430379747,0.5366957187652588,19.67055583000183,0.8142143542047047,217.40858364105225,1.415191650390625,15.724305391311646
4692,,0.9692568182945251,0.6937302215189873,0.503717303276062,19.73409080505371,0.8275175831278266,237.14267444610596,1.4560859203338623,17.180391311645508
